name,city,province,description,category,metadata,ratings,budget,latitude,longitude,operating hours,contact information
Hybrid Project,Imus,Cavite,Modern bar restaurant with international dishes. Known for their Bulalong Puti,Restaurant,Chill International Fusion,3.7,300,14.42878307,120.9370139,10:00AM - 12:00AM Daily,https://www.facebook.com/hybridprojectcavite
Villa Alberto Resort,Bacoor,Cavite,Premier public and private resort with pools and cottages and event spaces,Resort,Pool Cottage Outing,4.5,200,14.44968982,120.9692713,8:00 AM - 10:00PM,https://www.facebook.com/varesortbacoor/
Villa Camagong Resort,Bacoor,Cavite,	Private resort ideal for gatherings with spacious rooms and pool,Resort,Private Pool Events,4.6,6500,14.42631785,120.9652836,8:00 AM - 5:00 PM,https://www.facebook.com/villacamagong/
Garden Vylah Resort,Bacoor,Cavite,Garden-inspired private resort with large pool and event area,Resort,Garden Pool Events,4.6,5500,14.40465725,120.965782,Open 24 hours daily,0917 170 9575 and https://www.facebook.com/GardenVylah/
Cool Martin Resort,Bacoor,Cavite,Cozy resort with swimming pool and family accommodations,Resort,Pool Family-friendly,4.3,2000,14.44549104,120.9578894,Open 24 hours daily,0917 582 8790 or coolmartinfamilyhotel.com
One Serenata Hotel,Bacoor,Cavite,	Modern hotel with comfortable rooms and amenities,Hotel,Modern Comfortable,4,2000,14.44944044,120.9327921,Open 24 hours daily,046 434 5576
Kainan Sa Balsa,Bacoor,Cavite,	Modern Filipino cuisine with creative twists. Dishes include Inihaw na Panga ng Tuna and Ensaladang Talong,Restaurant,Filpino Traditional Fusion,4.3,300,14.4576812,120.9323763,10:00 AM - 10:00 PM Daily,046 434 6498
Manam,Bacoor,Cavite,"	""Modern Filipino cuisine with creative twists. Their most poular dishes are Crispy Pancit Palabok, Fresh Lumpiang Ubod,  and Crispy Pata Tim""",Restaurant,Modern Filipino Fusion,4.9,400,14.44540826,120.9515002,10:00 AM - 10:00 PM Daily,momentfood.com
Tirona's Grill,Bacoor,Cavite,Asian fusion restaurant with seafood specialties	,Restaurant,Asian Fusion Seafood,4.1,300,14.45002146,120.9344978,9:00AM - 3:00AM Daily,0929 658 3985
Wanderlust Cafe,Trece Martires,Cavite,A newly opened garage café offering cozy and inviting atmosphere.,Cafe,Hidden Gem Chill Relaxing,4.5,300,14.28396886,120.8541662,8:00AM - 12:00AM,0969 496 5787
Alitaptap Art Café,Amadeo,Cavite,Set within an artists' community also offering alfresco dining amidst artworks and occasional live music.,Cafe,Live Music Art Gallery Hidden Gem,4.2,300,14.20621111,120.9216839,10:00AM - 9:00PM Daily except Monday and Tuesday,0955 307 8472 and https://www.facebook.com/alitaptapartcafe
Gallery & Café,Silang,Cavite,"""A serene spot where coffee, art, and nature converge, offering a tranquil environment""",Cafe,Art Gallery Café Nature-inspired,4.5,200,14.18453972,120.9623578,NaN,NaN
Dreamlands Arts & Crafts Café,Tagaytay,Cavite,A bohemian-themed cozy café with handcrafted décor,Cafe,Cozy Art Café,4.3,200,14.11752233,120.9642537,9:00AM - 9:00 PM Daily,NaN
Siglo Farm Café,Indang,Cavite,"""A serene garden cafe nestled within the Paraiso Farm Resort. Offering an alfresco dining experience amidst lush greenery. Signature dishes include Adobong Antigo, Salmon Teriyaki, and a variety of freshly baked pastries."" ",Cafe,Hidden Gem Rustic Serene,4.6,400,14.16410474,120.8904842,10:00AM - 10:00PM Daily,NaN
Café Carolina,Amadeo,Cavite,A cozy and inviting café that offers warm ambiance perfect for relaxation and reading.,Cafe,Hidden Gem,4.6,300,14.13558562,120.932646,8:00 AM - 10:00PM Daily,0977 127 6208 and https://www.facebook.com/cafecarolinaph/
Bueno Express Café,Bacoor,Cavite,	A pet-friendly café offering a cozy ambiance and a variety of coffee blends.,Cafe,Pet-friendly Chill Instagrammable,4.8,300,14.40729061,120.9730395,10:00AM - 10:00PM Daily,https://www.instagram.com/buenoexpressocafe
Coffee Gus To,Dasmarinas,Cavite,"""A modern café offering a wide selection of coffee, frappes, milk tea, and hearty meals in a peaceful ambiance.""",Cafe,Hidden Gem Coworking Cozy,4.4,200,14.37435713,120.9205599,11:00AM - 11:00PM,0956 280 7813 and https://www.facebook.com/coffeegustoph
Tinatangi Café,Dasmarinas,Cavite,A charming café known for its cozy ambiance and selection of handcrafted beverages and pastries.,Cafe,Hidden Gem Instagrammable Cozy,,200,14.34973974,120.9738111,7:00AM - 12:00AM,NaN
So It Goes Café,Dasmarinas,Cavite,A vintage-retro themed coffee shop offering a unique atmosphere and a variety of coffee blends.,Cafe,Vintage Unique Cozy,4.8,200,14.32722178,120.9417949,10:00AM - 12:00AM Daily,0918 553 8111
Diocesan Shrine of San Agustin,Tanza,Cavite,A historic church established in 1780 known for its Earthquake Baroque architecture and cultural significance.,Historical Site,Heritage Religious,,0,14.40158988,120.8570093,5:00AM - 11:30PM,NaN
Hardin ng Postema ,Tanza,Cavite,A family-friendly resort featuring animal and dinosaur animatronics ideal for children and leisure walks.,Resort,Family-friendly Recreational,4.5,150,14.37530723,120.8249102,NaN,NaN
Villa Excellance ,Tanza,Cavite,A beach resort offering wave pools and various water activities perfect for family outings.,Resort,Family-friendly Recreational,4,3000,14.38262754,120.8222651,"""Check in time 2:00PM, Check out 12:00PM""",0916 523 2802
Hotel and Oasis Resort,Tanza,Cavite,A premier hotel and resort offering luxurious accommodations and event spaces and a beachfront view.  Suites include sitting areas. A 1-bedroom suite offers a living room and a 4-bedroom suite provides a kitchenette. Room service is available.,Hotel & Resort,"""Luxury, Events, Beachfront""",4.2,3500,14.36024015,120.7917793,"""Check in time 2:00PM, Check out 12:00PM""",tanzaoasis.com
Aqua Mira ,Tanza,Cavite,A modern resort featuring a large pool garden and comfortable rooms ideal for family getaways.,Hotel & Resort,	Family-Friendy Relaxing Modern,4.1,3000,14.31172728,120.8234356,"""Check in time 2:00PM, Check out 12:00PM""",0956 641 7009
Sibsib Baybayin ,Tanza,Cavite,A beachfront resort offering simple accommodations and a peaceful environment for relaxation.,Resort,Budget-friendly Beachfront,4.6,2000,14.34900575,120.7839096,"""Check in time 2:00PM, Check out 12:00PM""",
Shang Garden,Tanza,Cavite,A well-regarded Chinese restaurant known for authentic dishes and a cozy ambiance.,Restaurant,Chinese Authentic Family-Friendly,3.9,700,14.36022414,120.7916374,6:00 AM - 11:00PM Daily,NaN
Calle Real,Tanza,Cavite,A local favorite offering Filipino cuisine comfort food in a homey setting.,Restaurant,Traditional Homestyle,4.2,400,14.40010204,120.8606087,10:00 AM - 9:00 PM Daily,046 418 1574
Cafe BLK & BROWN,Tanza,Cavite,A modern café offering a variety of coffee blends and desserts in a minimalist setting.,Cafe,Minimalist Modern Desserts ,4.7,200,14.35284452,120.7965083,10:00 AM - 10:00 PM Daily,https://cafeblkandbrwn.my.canva.site/home
NCY Café,Tanza,Cavite,"""Offers a wide range of coffee and food options in a cozy setting, perfect for casual meetup""",Cafe,Casual Cozy,4.9,200,14.39572485,120.8597283,1:00PM - 10:00PM Daily,0962 770 5023
Trece Café & Kitchen,Trece Martires,Cavite,"""A homey café located in San Agustin offering a diverse menu of coffee, pastries, and hearty meals.""",Cafe,Cozy Minimalist,4.8,200,14.28619869,120.8602965,10:00AM - 12:00AM Daily,0962 840 0196
Kura Café,Trece Martires,Cavite,Offers a cozy and relaxing atmosphere. Known for its strong yet smooth Barista Blend coffee and assorted pastries and affordable meals. The cafe is air-conditioned pet-friendly and provides free Wi-Fi making it ideal for remote work.,Cafe,Cozy Pet-friendly Coworking,4,200,14.28481953,120.8630355,10:00AM - 11:00PM,https://utak.io/store/kuracafetrece
Kanlungan Café,Trece Martires,Cavite,Nestled in Cabuco this hidden gem boasts a rustic charm with its wooden interiors and garden setting. It offers a selection of handcrafted beverages and light snacks.,Cafe,Relaxing Hidden Gem,4.7,300,14.2829042,120.8502109,11:00 AM - 9:00PM Daily,0968 415 0503
Mayang Falls,Trece Martires,Cavite,Also known as Sta. Rosa Falls. The only known waterfalls in Trece Martires. It offersa natural retreat amidst lush greenery. Ideal for nature enthusiasts and those seeking a serene escape.,Natural Attraction,Waterfall Nature Ecotourism,4.2,0,14.24183992,120.8920825,Open 24 hours daily,NaN
Lola's Plate and Pours,Trece Martires,Cavite,A cozy and pet-friendly restaurant with airconditioned and al fresco options Signature dishes include Crispy Pork Kare Kare and Baked Scallops with cheese and garlic,Restaurant,Pet-friendly Cozy Filipino Cuisine,4.7,400,14.28938378,120.8910591,10:00AM - 12:00AM Daily,0927 142 0031
Chef Choi's House of Biryani	,Trece Martires,Cavite,	An Indian and Middle Eastern eatery offering authentic biryani and grilled meats Signature dish is Mutton Biryani cooked with aromatic spices,Restaurant,Indian-Middle Eastern Cuisine Halal Biryani,4.7,400,14.28204958,120.8507566,11:00AM - 9:00PM,0917 317 4667
Mikay's,General Trias,Cavite,A family style restaurant known for big servings and home cooked favorites Signature dishes include Grilled Liempo and Seafood Paella,Restaurant,Family-friendly Recreational,4.3,300,14.3771952,120.8840105,11:30AM - 9:30PM,0949 747 2589
Ilog Maria Honeybee Farm,Silang,Cavite,An eco friendly bee farm producing organic honey and wellness products offering educational tours on sustainable beekeeping practices.,Farm,Ecofriendly Educational Nature,4.6,300,14.19019268,120.9676936,8:00AM - 5:00PM Daily,ilogmaria.com
Acienda Designer Outlet,Silang,Cavite,The first true international outlet mall in the Philippines featuring over 100 fashion brands at discounted prices set in a European inspired village setting.,Leisure,Fashion Shopping Modern,4.5,0,14.18372752,120.9605912,10:00AM - 9:00PM,aciendadesigneroutlet.com
Cornerstone Pottery Farm,Silang,Cavite,An artisan pottery studio offering hands on workshops amid scenic gardens providing pottery classes and handcrafted ceramics.,Leisure,Artisan Pottery Creative,4.6,500,14.1951376,120.950149,8:00AM - 5:00PM Daily,cornerstonepotteryfarm.com
Café Aagpita,Silang,Cavite,"

A family run café with a chic two story house featuring glass windows offering a homey ambiance with alfresco dining surrounded by lush greenery.",Cafe,Homey Alfresco Scenic,4.5,300,14.23001128,120.974039,7:00AM -10:00PM,cafeagapita.com
Two Summers Café,Silang,Cavite,"

A cozy neighborhood café with a rustic beachfront ambiance offering espresso based drinks and delectable snacks in a warm and inviting setting.",Cafe,Cozy Rustic Inviting,4.7,300,14.22774157,120.9756684,9:00AM - 8:00PM,NaN
FILTR. Coffee,Silang,Cavite,A minimalist café offering great coffee and good ambiance popular among cyclists and those seeking a peaceful hideout down south.,Cafe,Minimalist Peaceful Cyclist,4.7,300,14.24950605,121.0481953,7:00AM - 8:00PM,filtrcoffee.pickup.ph
The Park,Silang,Cavite,A resort style property offering glamping tents multiple pools a full service spa and private plunge pool suites,Resort,Luxury Glamping Relaxing	,4.5,4000,14.22239809,121.0312699,"
Check-in time: 2:00 PM
Check-out time: 12:00PM",theparksilang.com or 0917 800 5367
Shambala Silang,Silang,Cavite,A nature immersive dining space and art gallery built in indigenous style huts offering Filipino heritage flavors,Restaurant,Upscale Romantic Scenic,4.6,500,14.17014684,120.9820103,NaN,0927 594 0337
The Unknown,Silang,Cavite,A contemporary café and bar hosting vibrant live music and creative culinary offerings into the late hours	,Café/Restaurant,Nightlife Trendy,4.9,700,14.15357893,120.9950971,10:00AM - 12:00AM Daily,theunknowncbr.com
Coffee Builders,Silang,Cavite,A modern coffee shop with an industrial loft ambiance offering specialty beverages and light meals in ample space,Cafe,Modern Comfortable Accessible,4.6,200,14.24207025,120.9970081,10:00AM - 10:00PM Daily,NaN
Third Bloom Café,Maragondon,Cavite,	Cozy café offering handcrafted coffee iced lattes and a selection of pastries and brunch meals perfect for study or casual hangouts.,Cafe,Cozy,5,200,14.325059,120.7732016,11:00AM - 9:00PM Daily,046 889 9181
Handaan Cavite,Maragondon,Cavite,Local eatery famous for authentic Filipino dishes such as kare-kare crispy pata and grilled seafood in a homey ambiance.	,Restaurant,Filipino Cuisine Local,4.7,400,14.32676183,120.7748726,11:00AM - 8:00PM,0994 890 4142
Little HQ Café,Indang,Cavite,Hidden gem known for brunch food signature hot chocolate and espresso blends served in a minimalist and quiet setting.,Cafe,Brunch Hidden Gem,4.7,200,14.22247359,120.8456934,11:00AM - 8:00PM,0919 818 6165
Riverfront Garden Resort,Maragondon ,Cavite,"A nature-inspired resort offering riverside accommodations lush gardens and a tranquil ambiance.
",Resort,Nature Relaxing Chill,4.3,From 2500,14.27616953,120.7285341,"""Check in time 2:00PM, Check out 12:00PM""",https://www.facebook.com/riverfrontgardenresort
Arvic Seaside Beach Resort,Naic,Cavite,Affordable seaside resort with beachfront access.,Resort,Seaside Budget Casual,4.1,From 1600,14.32198508,120.7536009,"""Check in time 2:00PM, Check out 12:00PM""",0956 912 5625
EMV Flower Farm,Indang,Cavite,A flower farm established since 2013 with 3.5 hectares of gorgeous blooms including more than 15 types of chrysanthemums,Farm,Relaxing Photoshoot Flowers,4.7,100,14.19996511,120.8559132,8:00AM - 5:00PM Daily,0977 729 0168
Pantihan Falls,Maragondon,Cavite,"""A scenic waterfall tucked in the forest, ideal for day hikes and picnics.""",Natural Attraction,Waterfall Nature Hiking Spot	,4,,14.26080155,120.7833112,8:00AM - 7:00PM,NaN
Honorio's Restaurant,Maragondon,Cavite,Filipino boodle fights  grilled seafood  and home?style dishes with large nipa hut seating and riverbank views.,Restaurant,Filipino Family Local,,300,14.27901422,120.7398735,8:00AM - 8:00PM,0997 754 5108
The Veranda by Chace & Cherrie,Maragondon,Cavite,Elegant restaurant serving modern Filipino and continental dishes on a verandah overlooking gardens. ,Restaurant,Modern Filipino ,4.6,400,14.27224067,120.740741,3:00PM - 10:00PM Daily,NaN
Mount Sea Resort,Rosario,Cavite,Seaside resort with grand hotel accommodations waterfront poo and fine dining restaurant,Resort,Luxury Beachfront,4.1,From 3000,14.42376159,120.8630779,"""Check in time 2:00PM, Check out 12:00PM""",mountsearesorts.com
La Josephina Coffee & Pastries,Amadeo,Cavite,"A rustic-themed cafe known for its cozy garden ambianceIdeal for casual dining and relaxing it offers a peaceful escape surrounded by greenery.
",Cafe,Cozy Serene Hidden Gem,4.5,300,14.16177815,120.92678,8:00 AM - 9:00 PM,https://www.facebook.com/lajosephinacafe
Salakot Café,Silang,Cavite,"""Filipino-inspired café featuring traditional nipa huts wooden décor, and a scenic countryside view. Offers native dishes signature local brews and a relaxing nature-rich atmosphere.""",Cafe,Traditional Scenic Relaxing,4.6,300,14.19314922,120.9631486,9:00 AM - 10:00 PM Daily,http://www.facebook.com/salakotcafe/
Cake's Coffee,Amadeo,Cavite,Quaint and charming café offering  homemade cakes comfort foodand locally sourced coffee.,Cafe,Cozy Homestyle Sweet,4.7,200,14.2066496,120.9339826,8:00 AM - 8:00 PM Daily,NaN
Cakes and Sprinkles,General Trias,Cavite,A vibrant dessert café known for its colorful pastries specialty cakes and cheerful atmosphere perfect for casual hangouts,Cafe,Minimalist Calm Dreamy,4.1,300,14.29309589,120.9139928,11:00AM - 9:00PM,NaN
Ivo's Kitchen,General Trias,Cavite,"""Countryside-style café and restaurant in Silang offering Filipino comfort food with a modern twist set in a homey, garden-inspired space.""",Restaurant,Homey Flavorful Relaxing,4.7,200,14.29282903,120.9129384,10:30 AM - 8:00 PM,https://web.facebook.com/ivos.kitchen.gentri
Camp Benjamin,Alfonso,Cavite,Eco-adventure resort with a zipline; bubble slide; obstacle course infinity pool and glamping tents ,Resort,Adventure Luxury,4.4,6000,14.15310513,120.8502028,"""Check in time 2:00PM, Check out 12:00PM""",0927 856 8779
Queens Strawberry Farm & Restaurant,Alfonso,Cavite,An agricultural tourism farm and restaurant with strawberry infused menus like salads desserts and shakes. Amenities include koi poinds fishing and a walk through their strawberry farm.,Restaurant,Strawberry Farm-to-Table,4.2,600,14.08791949,120.8669169,8:00 AM - 7:00PM,NaN
Kap'ean Coffee Shop,Alfonso,Cavite,A laid-back coffee spot in Amadeo serving locally grown brews and light snacks in a warm minimalist space with native touches and a welcoming vibe.,Cafe,"""Local, Minimalist, Welcoming""",4.2,200,14.07960924,120.8452638,7:00 AM - 9:00 PM Daily,NaN
Siglo Brew,Tagaytay,Cavite,"""A café and craft beer bar within View Park Hotel, combining Filipino cultural design with modern aesthetics, serving single-origin Philippine coffees and local craft beers in indoor and al fresco settings by the poolside""",Cafe,"""Local, Hidden Gem, Al Fresco""",4.7,200,14.12622197,120.9966877,11:00 AM - 9:00PM Daily,NaN
Dahon at Mesa,Tagaytay,Cavite,A rustic garden café perched on Tagaytay ridge offering panoramic views and known for barako latte and crispy tuyo pandesal breakfast combo,Restaurant,"""Scenic, Rustic, Family-friendly""",4.6,600,14.10130324,120.946079,6:00 AM - 9:00 PM Daily,0917 190 8877
Rosario Pamanang Panlasa,Tagaytay,Cavite,A modern heritage Filipino restaurant offering heirloom dishes passed through generations such as Kare Kare Asado Tortang Alimasag Embutido and Beef Bulalo with panoramic ridge views.,Restaurant,"""Filipino, Scenic""",4.8,600,14.09692017,120.9428768,10:00 AM - 10:00 PM,0919 077 7396
